Year,Event,Player,Team,Value
1965,Shutouts,Mudcat Grant,Minnesota,6
1965,Strikeouts,Sam McDowell,Cleveland,325
1965,Winning Percentage,Mudcat Grant,Minnesota,.750
1965,Wins,Mudcat Grant,Minnesota,21
1966,Complete Games,Jim Kaat,Minnesota,19
1966,ERA,Gary Peters,Chicago,1.98
1966,Games,Eddie Fisher,Baltimore,67
1966,Saves,Jack Aker,Kansas City,32
1966,Shutouts,Tommy John,Chicago,5
1966,Shutouts,Sam McDowell,Cleveland,5
1966,Shutouts,Luis Tiant,Cleveland,5
1966,Strikeouts,Sam McDowell,Cleveland,225
1966,Winning Percentage,Sonny Siebert,Cleveland,.667
1966,Wins,Jim Kaat,Minnesota,25
1967,Complete Games,Dean Chance,Minnesota,18
1967,ERA,Joe Horlen,Chicago,2.06
1967,Games,Bob Locker,Chicago,77
1967,Saves,Minnie Rojas,California,27
1967,Shutouts,Steve Hargan,Cleveland,6
1967,Shutouts,Joe Horlen,Chicago,6
1967,Shutouts,Tommy John,Chicago,6
1967,Shutouts,Mickey Lolich,Detroit,6
1967,Shutouts,Jim McGlothin,California,6
1967,Strikeouts,Jim Lonborg,Boston,246
1967,Winning Percentage,Joe Horlen,Chicago,.731
1967,Wins,Jim Lonborg,Boston,22
1967,Wins,Earl Wilson,Detroit,22
1968,Complete Games,Denny McLain,Detroit,28
1968,ERA,Luis Tiant,Cleveland,1.60
1968,Games,Wilbur Wood,Chicago,88
1968,Saves,Al Worthington,Minnesota,18
1968,Shutouts,Luis Tiant,Cleveland,9
1968,Strikeouts,Sam McDowell,Cleveland,283
1968,Winning Percentage,Denny McLain,Detroit,.838
1968,Wins,Denny McLain,Detroit,31
1969,Complete Games,Mel Stottlemyre,New York,24
1969,ERA,Dick Bosman,Washington,2.19
1969,Games,Wilbur Wood,Chicago,76
1969,Saves,Ron Perranoski,Minnesota,31
1969,Shutouts,Denny McLain,Detroit,9
1969,Strikeouts,Sam McDowell,Cleveland,279
1969,Winning Percentage,Jim Palmer,Baltimore,.800
1969,Wins,Denny McLain,Detroit,24
1970,Complete Games,Mike Cuellar,Baltimore,21
1970,ERA,Diego Segui,Oakland,2.56
1970,Games,Wilbur Wood,Chicago,77
1970,Saves,Ron Perranoski,Minnesota,34
1970,Shutouts,Chuck Dobson,Oakland,5
1970,Shutouts,Jim Palmer,Baltimore,5
1970,Strikeouts,Sam McDowell,Cleveland,304
1970,Winning Percentage,Mike Cuellar,Baltimore,.750
1970,Wins,Mike Cuellar,Baltimore,24
1970,Wins,Dave McNally,Baltimore,24
1970,Wins,Jim Perry,Minnesota,24
1971,Complete Games,Mickey Lolich,Detroit,29
1971,ERA,Vida Blue,Oakland,1.82
1971,Games,Ken Sanders,Milwaukee,83
1971,Saves,Ken Sanders,Milwaukee,31
1971,Shutouts,Vida Blue,Oakland,8
1971,Strikeouts,Mickey Lolich,Detroit,308
1971,Winning Percentage,Dave McNally,Baltimore,.808
1971,Wins,Mickey Lolich,Detroit,25
1972,Complete Games,Gaylord Perry,Cleveland,29
1972,ERA,Luis Tiant,Boston,1.91
1972,Games,Paul Lindblad,Texas,66
1972,Saves,Sparky Lyle,New York,35
1972,Shutouts,Nolan Ryan,California,9
1972,Strikeouts,Nolan Ryan,California,329
1972,Winning Percentage,Catfish Hunter,Oakland,.750
1972,Wins,Gaylord Perry,Cleveland,24
1972,Wins,Wilbur Wood,Chicago,24
1973,Complete Games,Gaylord Perry,Cleveland,29
1973,ERA,Jim Palmer,Baltimore,2.40
1973,Games,John Hiller,Detroit,65
1973,Saves,John Hiller,Detroit,38
1973,Shutouts,Bert Blyleven,Minnesota,9
1973,Strikeouts,Nolan Ryan,California,383
1973,Winning Percentage,Catfish Hunter,Oakland,.808
1973,Wins,Wilbur Wood,Chicago,24
1974,Complete Games,Fergie Jenkins,Texas,29
1974,ERA,Catfish Hunter,Oakland,2.49
1974,Games,Rollie Fingers,Oakland,76
1974,Saves,Terry Forster,Chicago,24
1974,Shutouts,Luis Tiant,Boston,7
1974,Strikeouts,Nolan Ryan,California,367
1974,Winning Percentage,Mike Cuellar,Baltimore,.688
1974,Wins,Catfish Hunter,Oakland,25
1974,Wins,Fergie Jenkins,Texas,25
1975,Complete Games,Catfish Hunter,New York,30
1975,ERA,Jim Palmer,Baltimore,2.09
1975,Games,Rollie Fingers,Oakland,75
1975,Saves,Rich Gossage,Chicago,26
1975,Shutouts,Jim Palmer,Baltimore,10
1975,Strikeouts,Frank Tanana,California,269
1975,Winning Percentage,Mike Torrez,Baltimore,.690
1975,Wins,Catfish Hunter,New York,23
1975,Wins,Jim Palmer,Baltimore,23
1976,Complete Games,Mark Fidrych,Detroit,24
1976,ERA,Mark Fidrych,Detroit,2.34
1976,Games,Bill Campbell,Minnesota,78
1976,Saves,Sparky Lyle,New York,23
1976,Shutouts,Nolan Ryan,California,7
1976,Strikeouts,Nolan Ryan,California,327
1976,Winning Percentage,Bill Campbell,Minnesota,.773
1976,Wins,Jim Palmer,Baltimore,22
1977,Complete Games,Jim Palmer,Baltimore,22
1977,Complete Games,Nolan Ryan,California,22
1977,ERA,Frank Tanana,California,2.54
1977,Games,Sparky Lyle,New York,72
1977,Saves,Bill Campbell,Boston,31
1977,Shutouts,Frank Tanana,California,7
1977,Strikeouts,Nolan Ryan,California,341
1977,Winning Percentage,Paul Splittorff,Kansas City,.727
1977,Wins,Dave Goltz,Minnesota,20
1977,Wins,Dennis Leonard,Kansas City,20
1977,Wins,Jim Palmer,Baltimore,20
1978,Complete Games,Mike Caldwell,Milwaukee,23
1978,ERA,Ron Guidry,New York,1.74
1978,Games,Bob Lacey,Oakland,74
1978,Saves,Rich Gossage,New York,27
1978,Shutouts,Ron Guidry,New York,9
1978,Strikeouts,Nolan Ryan,California,260
1978,Winning Percentage,Ron Guidry,New York,.893
1978,Wins,Ron Guidry,New York,25
1979,Complete Games,Dennis Martinez,Baltimore,18
1979,ERA,Ron Guidry,New York,2.78
1979,Games,Mike Marshall,Minnesota,90
1979,Saves,Mike Marshall,Minnesota,32
1979,Shutouts,Dennis Leonard,Kansas City,5
1979,Shutouts,Nolan Ryan,California,5
1979,Strikeouts,Nolan Ryan,California,223
1979,Winning Percentage,Mike Caldwell,Milwaukee,.727
1979,Wins,Mike Flanagan,Baltimore,23
1980,Complete Games,Rick Langford,Oakland,28
1980,ERA,Rudy May,New York,2.46
1980,Games,Dan Quisenberry,Kansas City,75
1980,Saves,Rich Gossage,New York,33
1980,Saves,Dan Quisenberry,Kansas City,33
1980,Shutouts,Tommy John,New York,6
1980,Strikeouts,Len Barker,Cleveland,187
1980,Winning Percentage,Steve Stone,Baltimore,.781
1980,Wins,Steve Stone,Baltimore,25
1981,Complete Games,Rick Langford,Oakland,18
1981,ERA,Steve McCatty,Oakland,2.33
1981,Games,Doug Corbett,Minnesota,54
1981,Saves,Rollie Fingers,Milwaukee,28
1981,Shutouts,Richard Dotson,Chicago,4
1981,Shutouts,Ken Forsch,California,4
1981,Shutouts,Doc Medich,Texas,4
1981,Shutouts,Steve McCatty,Oakland,4
1981,Strikeouts,Len Barker,Cleveland,127
1981,Winning Percentage,Pete Vuckovich,Milwaukee,.778
1981,Wins,Dennis Martinez,Baltimore,14
1981,Wins,Steve McCatty,Oakland,14
1981,Wins,Jack Morris,Detroit,14
1981,Wins,Pete Vuckovich,Milwaukee,14
1982,Complete Games,Dave Stieb,Toronto,19
1982,ERA,Rick Sutcliffe,Cleveland,2.96
1982,Games,Ed Vande Berg,Seattle,78
1982,Saves,Dan Quisenberry,Kansas City,35
1982,Shutouts,Dave Stieb,Toronto,5
1982,Strikeouts,Floyd Bannister,Seattle,209
1982,Winning Percentage,Pete Vuckovich,Milwaukee,.750
1982,Wins,La Marr Hoyt,Chicago,19
1983,Complete Games,Ron Guidry,New York,21
1983,ERA,Rick Honeycutt,Texas,2.42
1983,Games,Dan Quisenberry,Kansas City,69
1983,Saves,Dan Quisenberry,Kansas City,45
1983,Shutouts,Mike Boddicker,Baltimore,5
1983,Strikeouts,Jack Morris,Detroit,232
1983,Winning Percentage,Richard Dotson,Chicago,.759
1983,Wins,La Marr Hoyt,Chicago,24
1984,Complete Games,Charlie Hough,Texas,17
1984,ERA,Mike Boddicker,Baltimore,2.79
1984,Games,Willie Hernandez,Detroit,80
1984,Saves,Dan Quisenberry,Kansas City,44
1984,Shutouts,Bob Ojeda,Boston,5
1984,Shutouts,Geoff Zahn,California,5
1984,Strikeouts,Mark Langston,Seattle,204
1984,Winning Percentage,Doyle Alexander,Toronto,.739
1984,Wins,Mike Boddicker,Baltimore,20
1985,Complete Games,Bert Blyleven,Cleveland,24
1985,ERA,Dave Stieb,Toronto,2.48
1985,Games,Dan Quisenberry,Kansas City,84
1985,Saves,Dan Quisenberry,Kansas City,37
1985,Shutouts,Bert Blyleven,Cleveland,5
1985,Strikeouts,Bert Blyleven,Cleveland,206
1985,Winning Percentage,Ron Guidry,New York,.786
1985,Wins,Ron Guidry,New York,22
1986,Complete Games,Tom Candiotti,Cleveland,17
1986,ERA,Roger Clemens,Boston,2.48
1986,Games,Mitch Williams,Texas,80
1986,Saves,Dave Righetti,New York,46
1986,Shutouts,Jack Morris,Detroit,6
1986,Strikeouts,Mark Langston,Seattle,245
1986,Winning Percentage,Roger Clemens,Boston,.857
1986,Wins,Roger Clemens,Boston,24
1987,Complete Games,Roger Clemens,Boston,18
1987,ERA,Jimmy Key,Toronto,2.76
1987,Games,Mark Eichhorn,Toronto,89
1987,Saves,Tom Henke,Toronto,34
1987,Shutouts,Roger Clemens,Boston,7
1987,Strikeouts,Mark Langston,Seattle,262
1987,Winning Percentage,Roger Clemens,Boston,.690
1987,Wins,Roger Clemens,Boston,20
1987,Wins,Dave Stewart,Oakland,20
1988,Complete Games,Roger Clemens,Boston,14
1988,Complete Games,Dave Stewart,Oakland,14
1988,ERA,Allan Anderson,Minnesota,2.45
1988,Games,Chuck Crim,Milwaukee,70
1988,Saves,Dennis Eckersley,Oakland,45
1988,Shutouts,Roger Clemens,Boston,8
1988,Strikeouts,Roger Clemens,Boston,291
1988,Winning Percentage,Frank Viola,Minnesota,.774
1988,Wins,Frank Viola,Minnesota,24
1989,Complete Games,Bret Saberhagen,Kansas City,12
1989,ERA,Bret Saberhagen,Kansas City,2.16
1989,Games,Chuck Crim,Milwaukee,76
1989,Saves,Jeff Russell,Texas,38
1989,Shutouts,Bert Blyleven,California,5
1989,Strikeouts,Nolan Ryan,Texas,301
1989,Winning Percentage,Bret Saberhagen,Kansas City,.793
1989,Wins,Bret Saberhagen,Kansas City,23
1990,Complete Games,Jack Morris,Detroit,11
1990,Complete Games,Dave Stewart,Oakland,11
1990,ERA,Roger Clemens,Boston,1.93
1990,Games,Bobby Thigpen,Chicago,77
1990,Saves,Bobby Thigpen,Chicago,57
1990,Shutouts,Roger Clemens,Boston,4
1990,Shutouts,Dave Stewart,Oakland,4
1990,Strikeouts,Nolan Ryan,Texas,269
1990,Winning Percentage,Bob Welch,Oakland,.818
1990,Wins,Bob Welch,Oakland,27
1991,Complete Games,Jack McDowell,Chicago,15
1991,ERA,Roger Clemens,Boston,2.62
1991,Games,Duane Ward,Toronto,81
1991,Saves,Bryan Harvey,California,46
1991,Shutouts,Roger Clemens,Boston,4
1991,Strikeouts,Roger Clemens,Boston,241
1991,Winning Percentage,Scott Erickson,Minnesota,.714
1991,Wins,Scott Erickson,Minnesota,20
1991,Wins,Bill Gullickson,Detroit,20
1992,Complete Games,Jack McDowell,Chicago,13
1992,ERA,Roger Clemens,Boston,2.41
1992,Games,Kenny Rogers,Texas,81
1992,Saves,Dennis Eckersley,Oakland,51
1992,Shutouts,Roger Clemens,Boston,5
1992,Strikeouts,Randy Johnson,Seattle,241
1992,Winning Percentage,Mike Mussina,Baltimore,.783
1992,Wins,Kevin Brown,Texas,21
1992,Wins,Jack Morris,Toronto,21
1993,Complete Games,Chuck Finley,California,13
1993,ERA,Kevin Appier,Kansas City,2.56
1993,Games,Greg Harris,Boston,80
1993,Saves,Jeff Montgomery,Kansas City,45
1993,Saves,Duane Ward,Toronto,45
1993,Shutouts,Jack McDowell,Chicago,4
1993,Strikeouts,Randy Johnson,Seattle,308
1993,Winning Percentage,Jimmy Key,New York,.750
1993,Wins,Jack McDowell,Chicago,22
1994,Complete Games,Randy Johnson,Seattle,9
1994,ERA,Steve Ontiveros,Oakland,2.65
1994,Games,Bob Wickman,New York,53
1994,Saves,Lee Smith,Baltimore,33
1994,Shutouts,Randy Johnson,Seattle,4
1994,Strikeouts,Randy Johnson,Seattle,204
1994,Winning Percentage,Jason Bere,Chicago,.857
1994,Wins,Jimmy Key,New York,17
1995,Complete Games,Jack McDowell,New York,8
1995,ERA,Randy Johnson,Seattle,2.48
1995,Games,Jesse Orosco,Baltimore,65
1995,Saves,Jose Mesa,Cleveland,46
1995,Shutouts,Mike Mussina,Baltimore,4
1995,Strikeouts,Randy Johnson,Seattle,294
1995,Winning Percentage,Randy Johnson,Seattle,.900
1995,Wins,Mike Mussina,Baltimore,19
1996,Complete Games,Pat Hentgen,Toronto,10
1996,ERA,Juan Guzman,Toronto,2.93
1996,Games,Eddie Guardado,Minnesota,83
1996,Games,Mike Myers,Detroit,83
1996,Saves,John Wetteland,New York,43
1996,Shutouts,Pat Hentgen,Toronto,3
1996,Shutouts,Ken Hill,Texas,3
1996,Shutouts,Rich Robertson,Minnesota,3
1996,Strikeouts,Roger Clemens,Boston,257
1996,Winning Percentage,Charles Nagy,Cleveland,.773
1996,Wins,Andy Pettitte,New York,21
1997,Complete Games,Roger Clemens,Toronto,9
1997,Complete Games,Pat Hentgen,Toronto,9
1997,ERA,Roger Clemens,Toronto,2.05
1997,Games,Mike Myers,Detroit,88
1997,Saves,Randy Myers,Baltimore,45
1997,Shutouts,Roger Clemens,Toronto,3
1997,Shutouts,Pat Hentgen,Toronto,3
1997,Strikeouts,Roger Clemens,Toronto,292
1997,Winning Percentage,Randy Johnson,Seattle,.833
1997,Wins,Roger Clemens,Toronto,21
1998,Complete Games,Scott Erickson,Baltimore,11
1998,ERA,Roger Clemens,Toronto,2.65
1998,Games,Sean Runyan,Detroit,88
1998,Saves,Tom Gordon,Boston,46
1998,Shutouts,David Wells,New York,5
1998,Strikeouts,Roger Clemens,Toronto,271
1998,Winning Percentage,David Wells,New York,.818
1998,Wins,Roger Clemens,Toronto,20
1998,Wins,David Cone,New York,20
1998,Wins,Rick Helling,Texas,20
1999,Complete Games,David Wells,Toronto,7
1999,ERA,Pedro Martinez,Boston,2.07
1999,Games,Buddy Groom,Oakland,76
1999,Games,Bob Wells,Minnesota,76
1999,Saves,Mariano Rivera,New York,45
1999,Shutouts,Scott Erickson,Baltimore,3
1999,Strikeouts,Pedro Martinez,Boston,313
1999,Winning Percentage,Pedro Martinez,Boston,.852
1999,Wins,Pedro Martinez,Boston,23
2000,Complete Games,David Wells,Toronto,9
2000,ERA,Pedro Martinez,Boston,1.74
2000,Games,Kelly Wunsch,Chicago,83
2000,Saves,Todd Jones,Detroit,42
2000,Saves,Derek Lowe,Boston,42
2000,Shutouts,Pedro Martinez,Boston,4
2000,Strikeouts,Pedro Martinez,Boston,284
2000,Winning Percentage,Tim Hudson,Oakland,.769
2000,Wins,Tim Hudson,Oakland,20
2000,Wins,David Wells,Toronto,20
2001,Complete Games,Steve Sparks,Detroit,8
2001,ERA,Freddy Garcia,Seattle,3.05
2001,Games,Paul Quantrill,Toronto,80
2001,Saves,Mariano Rivera,New York,50
2001,Shutouts,Mark Mulder,Oakland,4
2001,Strikeouts,Hideo Nomo,Boston,220
2001,Winning Percentage,Roger Clemens,New York,.870
2001,Wins,Mark Mulder,Oakland,21
2002,Complete Games,Paul Byrd,Kansas City,7
2002,ERA,Pedro Martinez,Boston,2.26
2002,Games,Billy Koch,Oakland,84
2002,Saves,Eddie Guardado,Minnesota,45
2002,Shutouts,Jeff Weaver,New York,3
2002,Strikeouts,Pedro Martinez,Boston,239
2002,Winning Percentage,Pedro Martinez,Boston,.833
2002,Wins,Barry Zito,Oakland,23
2003,Complete Games,Bartolo Colon,Chicago,9
2003,Complete Games,Roy Halladay,Toronto,9
2003,Complete Games,Mark Mulder,Oakland,9
2003,ERA,Pedro Martinez,Boston,2.22
2003,Games,Trever Miller,Toronto,79
2003,Saves,Keith Foulke,Oakland,43
2003,Shutouts,Roy Halladay,Toronto,2
2003,Shutouts,Tim Hudson,Oakland,2
2003,Shutouts,John Lackey,Anaheim,2
2003,Shutouts,Mark Mulder,Oakland,2
2003,Shutouts,Joel Pineiro,Seattle,2
2003,Strikeouts,Esteban Loaiza,Chicago,207
2003,Winning Percentage,Roy Halladay,Toronto,.759
2003,Wins,Roy Halladay,Toronto,22
2004,Complete Games,Mark Mulder,Oakland,5
2004,Complete Games,Sidney Ponson,Baltimore,5
2004,Complete Games,Jake Westbrook,Cleveland,5
2004,ERA,Johan Santana,Minnesota,2.61
2004,Games,Paul Quantrill,New York,86
2004,Saves,Mariano Rivera,New York,53
2004,Shutouts,Jeremy Bonderman,Detroit,2
2004,Shutouts,Tim Hudson,Oakland,2
2004,Shutouts,Sidney Ponson,Baltimore,2
2004,Strikeouts,Johan Santana,Minnesota,265
2004,Winning Percentage,Curt Schilling,Boston,.778
2004,Wins,Curt Schilling,Boston,21
2005,Complete Games,Roy Halladay,Toronto,5
2005,ERA,Kevin Millwood,Cleveland,2.86
2005,Games,Mike Timlin,Boston,81
2005,Saves,Francisco Rodriguez,Los Angeles,45
2005,Saves,Bob Wickman,Cleveland,45
2005,Shutouts,Jon Garland,Chicago,3
2005,Strikeouts,Johan Santana,Minnesota,238
2005,Winning Percentage,Cliff Lee,Cleveland,.783
2005,Wins,Bartolo Colon,Los Angeles,21
2006,Complete Games,C.C. Sabathia,Cleveland,6
2006,ERA,Johan Santana,Minnesota,2.77
2006,Games,Scott Proctor,New York,83
2006,Saves,Francisco Rodriguez,Los Angeles,47
2006,Shutouts,John Lackey,Los Angeles,2
2006,Shutouts,C.C. Sabathia,Cleveland,2
2006,Shutouts,Jeremy Sowers,Cleveland,2
2006,Shutouts,Jake Westbrook,Cleveland,2
2006,Strikeouts,Johan Santana,Minnesota,245
2006,Winning Percentage,Roy Halladay,Toronto,.762
2006,Wins,Johan Santana,Minnesota,19
2006,Wins,Chien-Ming Wang,New York,19
2007,Complete Games,Roy Halladay,Toronto,7
2007,ERA,John Lackey,Los Angeles,3.01
2007,Games,Jamie Walker,Baltimore,81
2007,Saves,Joe Borowski,Cleveland,45
2007,Shutouts,Paul Byrd,Cleveland,2
2007,Shutouts,Jose Contreras,Chicago,2
2007,Shutouts,John Lackey,Cleveland,2
2007,Shutouts,Jeff Weaver,Seattle,2
2007,Strikeouts,Scott Kazmir,Tampa Bay,239
2007,Winning Percentage,Justin Verlander,Detroit,.762
2007,Wins,Josh Beckett,Boston,20
2009,Complete Games,Roy Halladay,Toronto,9
2009,ERA,Zack Greinke,Kansas City,2.16
2009,Games,Matt Guerrier,Minnesota,79
2009,Saves,Brian Fuentes,Los Angeles,48
2009,Shutouts,Roy Halladay,Toronto,4
2009,Strikeouts,Justin Verlander,Detroit,269
2009,Winning Percentage,Felix Hernandez,Seattle,.792
2009,Wins,Felix Hernandez,Seattle,19
2009,Wins,C.C. Sabathia,New York,19
2009,Wins,Justin Verlander,Detroit,19
2010,Complete Games,Cliff Lee,Seattle / Texas,7
2010,Complete Games,Carl Pavano,Minnesota,7
2010,ERA,Felix Hernandez,Seattle,2.27
2010,Games,Randy Choate,Tampa Bay,85
2010,Saves,Rafael Soriano,Tampa Bay,45
2010,Shutouts,Dallas Braden,Oakland,2
2010,Shutouts,Carl Pavano,Minnesota,2
2010,Strikeouts,Jered Weaver,Los Angeles,233
2010,Winning Percentage,Tommy Hunter,Texas,.765
2010,Wins,C.C. Sabathia,New York,21
2011,Complete Games,James Shields,Tampa Bay,11
2011,ERA,Justin Verlander,Detroit,2.40
2011,Games,Jose Valverde,Detroit,75
2011,Saves,Jose Valverde,Detroit,49
2011,Shutouts,Derek Holland,Texas,4
2011,Shutouts,James Shields,Tampa Bay,4
2011,Strikeouts,Justin Verlander,Detroit,250
2011,Winning Percentage,Justin Verlander,Detroit,.828
2011,Wins,Justin Verlander,Detroit,24
2012,Complete Games,Justin Verlander,Detroit,6
2012,ERA,David Price,Tampa Bay,2.56
2012,Games,Boone Logan,New York,80
2012,Saves,Jim Johnson,Baltimore,51
2012,Shutouts,Felix Hernandez,Seattle,5
2012,Strikeouts,Justin Verlander,Detroit,239
2012,Winning Percentage,David Price,Tampa Bay,.800
2012,Winning Percentage,Jered Weaver,Los Angeles,.800
2012,Wins,David Price,Tampa Bay,20
2012,Wins,Jered Weaver,Los Angeles,20
2013,Complete Games,David Price,Tampa Bay,4
2013,Complete Games,Chris Sale,Chicago,4
2013,ERA,Anibal Sanchez,Detroit,2.57
2013,Games,Joel Peralta,Tampa Bay,80
2013,Saves,Jim Johnson,Baltimore,50
2013,Shutouts,Bartolo Colon,Oakland,3
2013,Shutouts,Justin Masterson,Cleveland,3
2013,Strikeouts,Yu Darvish,Texas,277
2013,Winning Percentage,Max Scherzer,Detroit,.875
2013,Wins,Max Scherzer,Detroit,21
2014,Complete Games,Dallas Keuchel,Houston,5
2014,ERA,Felix Hernandez,Seattle,2.14
2014,Games,Bryan Shaw,Cleveland,80
2014,Saves,Fernando Rodney,Seattle,48
2014,Shutouts,Rick Porcello,Detroit,3
2014,Strikeouts,David Price,Tampa Bay / Detroit,271
2014,Winning Percentage,Max Scherzer,Detroit,.783
2014,Wins,Corey Kluber,Texas,18
2014,Wins,Max Scherzer,Detroit,18
2014,Wins,Jered Weaver,Los Angeles,18
2015,Complete Games,Mark Buehrle,Toronto,4
2015,Complete Games,Corey Kluber,Cleveland,4
2015,ERA,David Price,Detroit / Toronto,2.45
2015,Games,Kevin Jepsen,Tampa Bay / Minnesota,75
2015,Saves,Brad Boxberger,Tampa Bay,41
2015,Shutouts,Sonny Gray,Oakland,2
2015,Shutouts,Felix Hernandez,Seattle,2
2015,Shutouts,Dallas Keuchel,Houston,2
2015,Shutouts,Mike Montgomery,Seattle,2
2015,Shutouts,Jeff Samardzija,Chicago,2
2015,Strikeouts,Chris Sale,Chicago,274
2015,Winning Percentage,David Price,Detroit / Toronto,.783
2015,Wins,Dallas Keuchel,Houston,20
2016,Complete Games,Chris Sale,Chicago,6
2016,ERA,Aaron Sanchez,Toronto,3.00
2016,Games,Bryan Shaw,Cleveland,75
2016,Saves,Zach Britton,Baltimore,47
2016,Shutouts,Corey Kluber,Cleveland,2
2016,Strikeouts,Justin Verlander,Detroit,254
2016,Winning Percentage,Aaron Sanchez,Toronto,.882
2016,Wins,Rick Porcello,Boston,22
2017,Complete Games,Corey Kluber,Cleveland Indians,5
2017,Complete Games,Ervin Santana,Minnesota Twins,5
2017,ERA,Corey Kluber,Cleveland Indians,2.25
2017,Games,Bryan Shaw,Cleveland Indians,79
2017,Saves,Alex Colome,Tampa Bay Rays,46
2017,Shutouts,Corey Kluber,Cleveland Indians,3
2017,Shutouts,Ervin Santana,Minnesota Twins,3
2017,Strikeouts,Chris Sale,Boston Red Sox,308
2017,Winning Percentage,Corey Kluber,Cleveland Indians,.818
2017,Wins,Carlos Carrasco,Cleveland Indians,18
2017,Wins,Corey Kluber,Cleveland Indians,18
2017,Wins,Jason Vargas,Kansas City Royals,18
2018,Complete Games,Jose Berrios,Minnesota Twins,2
2018,Complete Games,Carlos Carrasco,Cleveland Indians,2
2018,Complete Games,Corey Kluber,Cleveland Indians,2
2018,Complete Games,James Paxton,Seattle Mariners,2
2018,ERA,Blake Snell,Tampa Bay Rays,1.89
2018,Games,Ryan Pressly,Minnesota Twins,77
2018,Saves,Edwin Diaz,Seattle Mariners,57
2018,Shutouts,Jose Berrios,Minnesota Twins,1
2018,Shutouts,Mike Clevinger,Cleveland Indians,1
2018,Shutouts,Gerrit Cole,Houston Astros,1
2018,Shutouts,Andrew Heaney,Los Angeles Angels,1
2018,Shutouts,Corey Kluber,Cleveland Indians,1
2018,Shutouts,Sean Manaea,Oakland Athletics,1
2018,Shutouts,Daniel Mengden,Oakland Athletics,1
2018,Shutouts,James Paxton,Seattle Mariners,1
2018,Shutouts,Luis Severino,New York Yankees,1
2018,Shutouts,Masahiro Tanaka,New York Yankees,1
2018,Shutouts,Justin Verlander,Houston Astros,1
2018,Strikeouts,Justin Verlander,Houston Astros,290
2018,Winning Percentage,Charlie Morton,Houston Astros,.833
2018,Wins,Blake Snell,Tampa Bay Rays,21
2019,Complete Games,Shane Bieber,Cleveland Indians,3
2019,Complete Games,Lucas Giolito,Chicago White Sox,3
2019,ERA,Gerrit Cole,Houston Astros,2.50
2019,Games,Yusmeiro Petit,Oakland Athletics,80
2019,Saves,Roberto Osuna,Houston Astros,38
2019,Shutouts,Shane Bieber,Cleveland Indians,2
2019,Shutouts,Lucas Giolito,Chicago White Sox,2
2019,Strikeouts,Gerrit Cole,Houston Astros,326
2019,Winning Percentage,Gerrit Cole,Houston Astros,.800
2019,Wins,Justin Verlander,Houston Astros,21
2020,Complete Games,Gerrit Cole,New York Yankees,2
2020,ERA,Shane Bieber,Cleveland Indians,1.63
2020,Games,Scott Barlow,Kansas City Royals,32
2020,Saves,Brad Hand,Cleveland Indians,16
2020,Shutouts,Gerrit Cole,New York Yankees,1
2020,Shutouts,Kyle Gibson,Texas Rangers,1
2020,Shutouts,Lucas Giolito,Chicago White Sox,1
2020,Shutouts,Brad Keller,Kansas City Royals,1
2020,Shutouts,Mike Minor,Oakland Athletics,1
2020,Strikeouts,Shane Bieber,Cleveland Indians,122
2020,Winning Percentage,Shane Bieber,Cleveland Indians,.889
2020,Wins,Shane Bieber,Cleveland Indians,8
2021,Complete Games,Gerrit Cole,New York Yankees,2
2021,Complete Games,Sean Manaea,Oakland Athletics,2
2021,ERA,Robbie Ray,Toronto Blue Jays,2.84
2021,Games,Bryan Shaw,Cleveland Indians,81
2021,Saves,Liam Hendriks,Chicago White Sox,38
2021,Shutouts,Sean Manaea,Oakland Athletics,2
2021,Strikeouts,Robbie Ray,Toronto Blue Jays,248
2021,Winning Percentage,"Lance McCullers, Jr.",Houston Astros,.722
2021,Wins,Gerrit Cole,New York Yankees,16
2022,Complete Games,Framber Valdez,Houston Astros,3
2022,ERA,Justin Verlander,Houston Astros,1.75
2022,Games,Adam Cimber,Toronto Blue Jays,77
2022,Games,Emmanuel Clase,Cleveland Guardians,77
2022,Saves,Emmanuel Clase,Cleveland Guardians,42
2022,Shutouts,Dylan Cease,Chicago White Sox,1
2022,Shutouts,Nestor Cortes,New York Yankees,1
2022,Shutouts,Reid Detmers,Los Angeles Angels,1
2022,Shutouts,Nathan Eovaldi,Boston Red Sox,1
2022,Shutouts,Dean Kremer,Baltimore Orioles,1
2022,Shutouts,Martín Pérez,Texas Rangers,1
2022,Shutouts,Patrick Sandoval,Los Angeles Angels,1
2022,Shutouts,Framber Valdez,Houston Astros,1
2022,Shutouts,Michael Wacha,Boston Red Sox,1
2022,Strikeouts,Corbin Burnes,Milwaukee Brewers,243
2022,Winning Percentage,Justin Verlander,Houston Astros,.818
2022,Wins,Justin Verlander,Houston Astros,18
2023,Complete Games,Jordan Lyles,Kansas City Royals,3
2023,ERA,Gerrit Cole,New York Yankees,2.63
2023,Games,Matt Brash,Seattle Mariners,78
2023,Saves,Emmanuel Clase,Cleveland Guardians,44
2023,Shutouts,Gerrit Cole,New York Yankees,2
2023,Shutouts,Framber Valdez,Houston Astros,2
2023,Strikeouts,Kevin Gausman,Toronto Blue Jays,237
2023,Winning Percentage,Gerrit Cole,New York Yankees,.789
2023,Wins,Chris Bassitt,Toronto Blue Jays,16
2023,Wins,Zach Eflin,Tampa Bay Rays,16
